idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"a dog chased",1,dog,N,telescope,N,"a telescope chased",0,1
1,"the lazy quick man admired a cat on a telescope",5,a,Det,the,Det,"the lazy quick man admired the cat on a telescope",0,1
2,"the woman saw the dog on the woman",4,dog,N,telescope,N,"the woman saw the telescope on the woman",0,1
3,"a park liked",1,park,N,telescope,N,"a telescope liked",0,1
4,"a lazy lazy park found the lazy small lazy telescope",5,the,Det,the,Det,"a lazy lazy park found the lazy small lazy telescope",1,1
5,"the park chased the red small park",3,the,Det,a,Det,"the park chased a red small park",0,1
6,"the dog saw a man in the man",4,man,N,park,N,"the dog saw a park in the man",0,1
7,"a red small cat admired",2,small,Adj,lazy,Adj,"a red lazy cat admired",0,1
8,"a woman liked the big quick park under the woman",5,quick,Adj,small,Adj,"a woman liked the big small park under the woman",0,1
9,"the red red small telescope chased",3,small,Adj,small,Adj,"the red red small telescope chased",1,1
10,"a telescope saw the lazy lazy cat under a woman",5,lazy,Adj,lazy,Adj,"a telescope saw the lazy lazy cat under a woman",1,1
11,"the cat liked",1,cat,N,park,N,"the park liked",0,1
12,"the lazy big cat chased",2,big,Adj,quick,Adj,"the lazy quick cat chased",0,1
13,"a lazy red park admired",2,red,Adj,big,Adj,"a lazy big park admired",0,1
14,"a woman liked a dog with a man",4,dog,N,park,N,"a woman liked a park with a man",0,1
15,"the dog liked the small quick cat in a telescope",5,quick,Adj,lazy,Adj,"the dog liked the small lazy cat in a telescope",0,1
16,"the big lazy woman chased the dog",3,woman,N,man,N,"the big lazy man chased the dog",0,1
17,"a woman chased a dog",2,chased,V,chased,V,"a woman chased a dog",1,1
18,"the lazy lazy woman found",2,lazy,Adj,quick,Adj,"the lazy quick woman found",0,1
19,"the telescope liked the red lazy small cat",4,red,Adj,small,Adj,"the telescope liked the small lazy small cat",0,1
20,"the small small telescope found a small red woman",4,found,V,admired,V,"the small small telescope admired a small red woman",0,1
21,"the woman liked a lazy lazy telescope",3,a,Det,a,Det,"the woman liked a lazy lazy telescope",1,1
22,"the telescope liked the telescope",2,liked,V,on,P,"the telescope on the telescope",0,0
23,"a cat saw a cat",2,saw,V,liked,V,"a cat liked a cat",0,1
24,"a big big cat chased",2,big,Adj,small,Adj,"a big small cat chased",0,1
25,"a park admired the small lazy cat on the park",5,lazy,Adj,red,Adj,"a park admired the small red cat on the park",0,1
26,"a park admired the red lazy woman",3,the,Det,a,Det,"a park admired a red lazy woman",0,1
27,"the man saw",1,man,N,dog,N,"the dog saw",0,1
28,"a dog saw",1,dog,N,park,N,"a park saw",0,1
29,"the big quick cat found",2,quick,Adj,lazy,Adj,"the big lazy cat found",0,1
